	Institution_Name	Location	Ratings
0	IIM Bangalore - Indian Institute of Management	Bannerghatta Road	4.8
1	Christ University	Hosur Road	4.2
2	CMS Business School, Jain Deemed-to-be University, Bangalore	Gandhi Nagar	4.2
3	Alliance School of Business, Alliance University	Anekal	3.9
4	Reva University	Yelahanaka	4.2
5	Xavier Institute of Management and Entrepreneurship, Bangalore	Hosur Road	3.5
6	AIMS Institutes	Peenya	3.4
7	St. Joseph's Institute of Management	M. G. Road	4.5
8	Indus Business Academy (IBA)	Kanakapura Road	4.3
9	Acharya School of Management	Hessarghatta Road	4.0
10	PES University	Banashankari	4.0
11	Jagdish Sheth School of Management	Electronic City	4.0
12	NMIMS Deemed to be University, Bannerghatta	Bannerghatta Road	4.3
13	Prin. L N Welingkar Institute of Management Development and Research	Hosur Road	3.6
14	ABBS	Magadi Road	4.1
15	Symbiosis Institute of Business Management, Symbiosis International, Bangalore	Hosur Road	4.1
16	School of Commerce and Management, Christ University	Hosur Road	4.8
17	Kristu Jayanti College	Kothanur	4.3
18	ISBR Business School	Electronic City	4.1
19	RV Institute of Management	Jayanagar	4.4
20	Ramaiah Institute of Management	M.S. Ramaiah	3.6
21	Krupanidhi School of Management, Krupanidhi Group of Institutions	Sarjapur Road	4.3
22	DSI - Dayananda Sagar Institutions	Kanakapura Road	4.2
23	International School of Management Excellence	Sarjapur Road	4.2
24	BMS College of Engineering	Basavanagudi	4.0
25	Dayananda Sagar Academy Of Technology And Management (DSATM)	Kanakapura Road	3.6
26	Dayananda Sagar College of Arts, Science and Commerce	Banashankari	4.4
27	Adarsh Institute of Management and Information Technology	Chamrajpet	3.6
28	School of Management, Presidency University, Bangalore	Yelahanaka	4.2
29	Ramaiah Institute of Management Studies	M.S. Ramaiah	No rating
30	The Oxford College of Business Management	H.S.R Layout	3.9
31	Indian Academy School of Management Studies	Kalyan Nagar	4.4
32	DSU - Dayananda Sagar University	Hosur Road	4.4
33	Dayananda Sagar College Of Engineering	Banashankari	4.4
34	Presidency College	Hebbal	3.8
35	Padmashree Institute of Information Sciences	Bangalore	No rating
36	Don Bosco Institute Of Technology, Bangalore	Mysore Road	3.4
37	T. John Group of Institutions	Bannerghatta Road	3.9
38	Sambhram Academy of Management Studies (SAMS, Bangalore)	Jalahalli	3.3
39	CMR Institute of Technology, Bangalore	I.T. Park Road	4.1
40	The Oxford College of Engineering	Hosur Road	4.0
41	SJB Institute of Technology	Kengeri	4.0
42	NITTE School of Management - NSOM	Govindapura	4.2
43	T. John Institute of Management and Science	Bannerghatta Road	4.2
44	Seshadripuram Institute of Management Studies	Yelahanaka	4.0
45	ISB&M - International School of Business and Media, Bangalore	Sompura Industrial Area	4.6
46	CMR Center for Business Studies	Banasavadi	4.3
47	GIBS Business School	Bangalore	4.6
48	MP Birla Institute of Management	Race Course Road	3.9
49	Surana College Post Graduate Departments	Kengeri	4.1
50	K.S. Group of Institutions	Kanakapura Road	3.2
51	NHCE Bangalore - New Horizon College of Engineering	Marathahalli	4.3
52	NSB Academy	Anekal	4.4
53	Acharya Institute of Technology	Hessarghatta Road	4.1
54	GEMS B School, Bangalore	Vasanth Nagar	3.6
55	International Institute of Business Studies	airport(new airport)	4.3
56	AIMS IBS	Electronic City	4.8
57	Dayananda Sagar Business School	Banashankari	4.6
58	M.S. Ramaiah University of Applied Sciences (MSRUAS)	M S R Nagar	3.4
59	Regional College of Management, Bangalore	Devanhalli	4.8
60	R.N.S. Institute of Technology	Channasandra	4.0
61	ICFAI Business School (IBS), Bangalore	Mysore Road	4.1
62	Ramaiah Institute of Technology	M S R Nagar	4.0
63	NITTE Meenakshi Institute of Technology	Yelahanaka	3.9
64	Sir M. Visvesvaraya Institute of Technology	Yelahanaka	3.6
65	East Point Group of Institutions	Avalahalli	2.5
66	Cambridge Institute of Technology, K R Puram	K R Puram	4.3
67	IFIM College	Electronic City	3.9
68	Jain Deemed-to-be University - Online Campus	Jayanagar	No rating
69	Global Academy of Technology	Raja Rajeshwari Nagar	4.6
70	Alliance Ascent College, Alliance University	BTM 2nd Stage	3.8
71	Bangalore Institute of Management Studies	Kengeri	2.9
72	Bangalore Institute of Technology	Chamrajpet	No rating
73	B.N.M Institute of Technology	Banashankari	No rating
74	St. Claret College	Jalahalli	4.6
75	School of Management, CMR University	Kalyan Nagar	No rating
76	Nagarjuna College of Engineering and Technology	Devanhalli	4.4
77	M.S. Ramaiah College of Arts, Science and Commerce	M S R Nagar	2.4
78	JSS Academy of Technical Education	Uttarahalli Main Road	4.0
79	Mount Carmel College	Palace Road	3.7
80	Christ Academy Institute for Advanced Studies	Electronic City Phase 1	No rating
81	Krupanidhi Group of Institutions	Sarjapur Road	No rating
82	Dr. Ambedkar Institute Of Technology (AIT), Bangalore	Mallathalli	No rating
83	Community Institute of Management Studies	Jayanagar	4.2
84	Jain Deemed-to-be University, Bangalore	Jayanagar	No rating
85	Don Bosco Institute Of Management Studies And Computer Applications Mysore Road	Mysore Road	3.9
86	East West Group Of Institutions, Magadi Road	Vishwaneedam	1.0
87	Ramaiah Institute of Management Studies/ Sciences	Mathikere	4.1
88	Brindavan College of Engineering	Yelahanaka	3.5
89	City College	Jayanagar	4.0
90	Karnataka College of Management	Yelahanaka	4.0
91	Atria Institute of Technology	Hebbal	No rating
92	Maharani's Arts, Commerce and Management College for Wormen	Seshadri Road	No rating
93	S.E.A College of Engineering & Technology	K R Puram	1.0
94	Institute of Health Management Research, Bangalore	Electronic City	4.2
95	AMC Engineering College	Bannerghatta Road	2.5
96	Canara Bank School Of Management Studies	Palace Road	3.9
97	Srinivas University - Bangalore Campus	Jayanagar	No rating
98	St. Francis College	Koramangala	No rating
99	Canara Bank School of Management Studies, Jnanabharathi Campus	Jnana Bharathi	No rating
100	Sindhi Institute of Management - SIM	Hebbal	4.0
101	Bangalore City College	Kalyan Nagar	No rating
102	RajaRajeswari College of Engineering	Mysore Road	No rating
103	GITAM School of Business, Bengaluru	Doddaballapur Rd.	3.2
104	Indian Institute of Plantation Management	Nagarbhavi	3.6
105	IZee Business School	Anekal	4.9
106	Faculty of Management and Commerce, M.S. Ramaiah University of Applied Sciences	Peenya	No rating
107	Garden City University	Old Madras Road	3.9
108	One School of Business	Nagavara	No rating
109	Christ - Kengeri Campus	Kengeri	4.4
110	Administrative Management College	Bannerghatta Road	3.1
111	ISC - Indian School of Commerce, Bangalore	Vasanth Nagar	No rating
112	M.V.J. College of Engineering	Whitefield	2.7
113	Oxbridge Business School	Vishwaneedam	No rating
114	Government Ramnarayan Chellaram College of Commerce and Management	Gandhi Nagar	No rating
115	Symbiosis National Aptitude Test, Bangalore	Hosur Road	No rating
116	Koshys Group of Institutions	Hennur-Bagalur Road	3.9
117	Sai Vidya Institute of Technology	Doddaballapur Rd.	4.4
118	Bangalore University	Mysore Road	3.4
119	University of Agricultural Sciences, Bangalore	Vivek Nagar	No rating
120	St. George College of Management, Science and Nursing	Banasavadi	1.6
121	GT Institute of Management Studies	Vishwaneedam	No rating
122	SVCE - Sri Venkateshwara College of Engineering	Yelahanaka	3.8
123	Vogue Institute of Art and Design	Bangalore	No rating
124	SJES College of Management Studies	Old Madras Road	4.6
125	Vanguard Business School	Hosur Road	4.4
126	Jain College,Jayanagar	Jayanagar	4.2
127	Jyoti Nivas College	Hosur Road	4.0
128	Praxis Business School, Bangalore	H.S.R Layout	4.0
129	Akash Group of Institutions	Devanhalli	No rating
130	SVR College of Commerce and Management Studies	H.S.R Layout	No rating
131	MBA ESG, Bangalore	Seshadri Road	No rating
132	RJS Institute of Management Studies (RJSIMS)	Koramangala	3.1
133	International School of Management Sciences - ISMS	Kanakapura Road	4.2
134	Padmashree Group of Institutions	Nagarbhavi	5.0
135	IBMR-IBS College, Bangalore	Koramangala	3.3
136	National Institute of Management Studies, Bangalore	Kengeri	3.6
137	Acharya Institute Of Management And Science	Bangalore	No rating
138	SJB College of Management Studies	Bangalore	No rating
139	PISM powered by Sunstone	Bellandur	No rating
140	Vivekananda Institute of Management	RajajiNagar	3.5
141	AIEMS - Amruta Institute of Engineering & Management Sciences	Bidadi	2.5
142	JVIT - Jnana Vikas Institute of Technology	Bidadi	4.4
143	Aditya Group of Institutions	Yelahanaka	3.0
144	RGC - Rajiv Gandhi Group of Institution	R.T. Nagar	No rating
145	Government First Grade College, Vijayanagar	Vijayanagar	No rating
146	HKBK College of Management	Nagavara	4.3
147	Dr. Ambedkar Institute of Management Studies	Indiranagar	No rating
148	SIT - Sambhram Institute of Technology	Jalahalli	No rating
149	Global Institute of Management Sciences	Raja Rajeshwari Nagar	No rating
150	Acharya Institute of Graduate Studies	Chikkabanavara Lake	No rating
151	Al-Ameen Institute of Management Studies	Hosur Road	3.5
152	Reva Institute of Science and Technology	Bangalore	2.8
153	MATS Institute of Management and Entrepreneurship	Jayanagar	4.3
154	St. Francis De Sales College	Electronic City	No rating
155	Symbiosis School of Media & Communication, Symbiosis International, Bangalore	Hosur Road	3.5
156	JD Institute of Fashion Technology, Brigade Road	Brigade Road	No rating
157	R.R. Institute of Advanced Studies	Chikkabanavara Lake	2.2
158	St. Hopkins Group of Institution	Sampangirama Nagar	No rating
159	Hal Management Academy	Marathahalli	No rating
160	School of Engineering and Technology, CMR University	Hennur-Bagalur Road	No rating
161	Institute of Logistics and Aviation Management, Bangalore	Indiranagar	No rating
162	Dr. Sri. Sri. Sri. Shivakumara Mahaswamy College of Engineering	Bangalore	No rating
163	Mount Carmel Institute of Management (for Women)	Palace Road	No rating
164	Department of PG Studies, Visvesvaraya Technological University, Bangalore	Chikkaballapur	No rating
165	G.I.B.S. Business School, Bangalore	Bangalore	No rating
166	Acharyas Bangalore Business School	Bangalore	4.1
167	Goutham College	Basaveshwaranagar	No rating
168	ISBR College	Electronic City Phase 1	No rating
169	Amrita School of Business, Amrita Vishwa Vidyapeetham - Bengaluru Campus	Sarjapur Road	3.7
170	International Academy of Management and Entrepreneurship	Kanakapura Road	No rating
